passenger_count,trip_distance,fare_amount,tip_amount,total_amount
6,0.87,6.0,0.0,7.8
5,4.28,14.0,0.0,14.8
1,0.4,4.0,0.0,5.8
1,7.03,25.5,2.06,28.36
1,7.19,27.5,2.0,30.3
1,1.63,8.5,0.0,10.3
5,1.14,5.5,2.19,9.49
1,0.77,8.5,0.0,9.3
1,0.7,5.0,1.45,7.25
1,3.1,11.0,3.0,15.3
1,1.4,8.5,0.0,10.3
2,0.82,7.5,1.0,9.3
1,0.6,5.0,1.0,7.8
1,8.0,25.5,6.8,34.1
1,1.89,12.5,1.7,15.0
2,0.75,5.0,1.16,6.96
1,2.68,11.0,2.36,14.16
1,2.2,10.0,0.0,11.3
1,0.69,5.5,1.26,7.56
1,5.55,18.5,3.96,23.76
1,12.4,41.0,7.0,48.8
1,0.6,4.0,0.0,4.8
1,0.78,6.0,0.0,6.8
2,0.82,8.5,0.0,9.3
2,5.33,20.0,4.16,24.96
1,1.27,7.5,0.0,8.3
5,1.47,8.0,2.2,11.0
1,0.32,3.0,0.0,4.8
1,1.9,11.5,2.65,15.95
2,8.2,27.5,6.75,40.59
1,1.37,6.0,1.95,9.75
5,0.93,7.0,0.0,8.8
2,2.77,14.5,0.0,15.3
1,11.3,36.0,8.46,50.8
2,0.86,5.0,0.0,5.8
1,1.63,9.5,3.09,13.39
1,0.7,4.5,1.3,6.6
1,1.55,9.0,1.96,11.76
1,0.9,6.0,1.0,8.8
1,10.3,31.0,7.45,44.79
1,3.7,12.0,0.0,13.3
1,1.92,12.5,0.0,13.3
1,0.8,6.0,1.46,8.76
1,16.0,43.5,9.95,59.79
3,0.9,6.0,0.0,6.8
1,0.33,3.5,0.0,4.3
1,1.1,6.0,1.45,8.75
1,0.4,4.0,1.0,6.8
1,2.5,11.0,2.0,13.8
1,6.4,22.5,0.0,23.8
5,1.21,9.0,0.0,9.8
1,2.11,10.5,0.0,11.3
1,1.8,9.0,1.95,11.75
1,17.69,52.0,2.0,65.88
1,1.58,9.5,0.0,10.3
2,1.1,8.5,2.06,12.36
1,0.8,5.5,1.46,8.76
1,0.7,6.5,0.0,7.3
5,0.76,7.5,1.0,9.3
1,1.86,9.5,0.0,10.3
1,1.02,6.0,0.0,6.8
2,1.49,7.5,1.66,9.96
1,1.74,8.0,0.0,9.3
1,4.42,16.5,0.0,17.8
1,2.1,10.5,1.0,13.3
1,0.19,4.0,0.0,4.8
1,2.19,13.5,3.0,17.3
1,10.7,32.5,6.65,39.95
5,1.24,7.0,1.56,9.36
1,0.6,4.5,0.0,6.3
1,7.53,22.5,3.0,26.8
